"filename", "language", "Markdown", "YAML", "XML", "Java Properties", "Java", "JSON", "PostCSS", "Shell Script", "Batch", "C#", "HTML", "comment", "blank", "total"
"d:\UCI MSWE\261P\pdfsam\.github\FUNDING.yml", "YAML", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 4
"d:\UCI MSWE\261P\pdfsam\.github\dependabot.yml", "YAML", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12
"d:\UCI MSWE\261P\pdfsam\.github\workflows\build.yml", "YAML", 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 24
"d:\UCI MSWE\261P\pdfsam\.github\workflows\release.yml", "YAML", 0, 67, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 76
"d:\UCI MSWE\261P\pdfsam\CONTRIBUTING.md", "Markdown", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 21
"d:\UCI MSWE\261P\pdfsam\README.md", "Markdown", 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 44
"d:\UCI MSWE\261P\pdfsam\README_part_1.md", "Markdown", 312, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 118, 430
"d:\UCI MSWE\261P\pdfsam\pdfsam-basic\pom.xml", "XML", 0, 0, 739, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10, 751
"d:\UCI MSWE\261P\pdfsam\pdfsam-basic\src\assembly\portable-linux.xml", "XML", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14
"d:\UCI MSWE\261P\pdfsam\pdfsam-basic\src\assembly\portable-win.xml", "XML", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14
"d:\UCI MSWE\261P\pdfsam\pdfsam-basic\src\assembly\portable.xml", "XML", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14
"d:\UCI MSWE\261P\pdfsam\pdfsam-basic\src\assembly\resources\bin\pdfsam.bat", "Batch", 0, 0, 0, 0, 0, 0, 0, 0, 59, 0, 0, 28, 25, 112
"d:\UCI MSWE\261P\pdfsam\pdfsam-basic\src\assembly\resources\bin\pdfsam.sh", "Shell Script", 0, 0, 0, 0, 0, 0, 0, 76, 0, 0, 0, 23, 14, 113
"d:\UCI MSWE\261P\pdfsam\pdfsam-basic\src\deb\icon.svg", "XML", 0, 0, 91, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 94
"d:\UCI MSWE\261P\pdfsam\pdfsam-basic\src\detached-sign.sh", "Shell Script", 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 16, 1, 19
"d:\UCI MSWE\261P\pdfsam\pdfsam-basic\src\dmg\notarize_dmg.sh", "Shell Script", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 22, 7, 35
"d:\UCI MSWE\261P\pdfsam\pdfsam-basic\src\main\java\module-info.java", "Java", 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 18, 1, 36
"d:\UCI MSWE\261P\pdfsam\pdfsam-basic\src\main\java\org\pdfsam\basic\App.java", "Java", 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 23, 7, 57
"d:\UCI MSWE\261P\pdfsam\pdfsam-basic\src\main\java\org\pdfsam\basic\PdfsamBasic.java", "Java", 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 22, 8, 53
"d:\UCI MSWE\261P\pdfsam\pdfsam-basic\src\main\java\org\pdfsam\basic\PdfsamBasicConfig.java", "Java", 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 23, 6, 59
